publisherID,contactID,title,uniqueKey,description,metaDescription,applicationName,taskUrl,status,authenticated,displayVersion,imageSetId,largeIcon,categoryId,markets,roleId,releaseNotes,,,
1361,1079,The Black Explosion Newspaper,blackexplosion,"The Black Explosion has been in circulation since 1968, offering information and pertinent updates about campus affairs and student life, especially pertaining to the black community. Today, the newspaper strives to serve as a staple of black culture in the University of Maryland black community and connects news and culture. The newspaper strives to put out fresh and challenging information primarily but not exclusively for the black community. They seek to be a ‰ÛÏBlack Voice‰Û_ for the campus. They also continuously aim to bring attention to issues that affect the black campus community. Additionally, the newspaper strives endlessly for consistency and quality whether it be meeting our deadlines, or producing quality photography and writing. Their primary dedication is to their work and the community that they serve.",Read the Black Explosion if you're interested in the African American community at UMD!,,https://blackexplosionnewspaper.wordpress.com/2016/09/26/acts-of-racism-against-african-american-students-at-american-university-spark-outrage-across-campus/,Active,None,1.0.0,3637,null,"1387, 1389, 1390, 1392, 1393, 1394, 1396",1095,1047,1.0.0,,,
1361,1080,UMD Club Softball,clubsoftball,Interested in softball? Come out and see what the UMD Club Softball team has to offer.,"If you are interested in Maryland's Women's Tennis Team, then follow them on social media!",,https://t.co/BQMKY7RV98,Active,None,1.0.0,3635,null,1396,1101,"1047, 1081",1.0.0,,,
1361,1959,"The International Student Council, School of Public Policy",issspp,"If you are interested in international public policy, join the SPP ISC today!","If you are interested in international public policy, join the SPP ISC today!",,https://t.co/O51IjQomMY,Active,None,1.0.0,3644,null," 1396, 1387",1102,1047,1.0.0,,,
1361,1080,Maryland Gymnastics,gymnastics,Come support our Maryland Gymnastics team and exude Maryland Pride!,Come support our Maryland Gymnastics team and exude Maryland Pride!,,https://t.co/QLhL2aVfc3,Active,None,1.0.0,3635,null,"1388, 1395, 1396, 1390",1101,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1079,"The American Indian Student Union at the University of Maryland, College Park",americanindianstudentunion,"The American Indian Student Union at the University of Maryland, College Park promotes student development and campus participation for indigenous and American Indian/Native American students as well as anyone who would like to better understand the historical and modern conditions of Native American Indian/Indigenous people and to experience and celebrate the native cultures of the Americas. ","Join the American Indian Student Union at the University of Maryland, College Park if you're interested in Native American culture.",,https://t.co/VezwwApo9A,Active,None,1.0.0,3637,null,"1386, 1387, 1390, 1395, 1396",1095,1047,1.0.0,,,
1361,1089,TerpNav,terpnav,"TerpNav is a system developed by University of Maryland undergraduate students intended to give its users a direct route from one campus location to another. The map provides layers, such as bike friendly areas, dining locations, visitor information, student parking","If you need to find out how to get around campus, TerpNav is your go-to tool!",,https://terpnav.umd.edu,Active,None,1.0.0,3643,null,"1384, 1395 ",1103,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1955,The Clarice Smith Performing Arts Center,cspac,The Clarice Smith Performing Arts Center (CSPAC) is an artisitc hub that develops the next generation of artists and creative innovators. The Clarice frequently hosts performers of different artistic disciplines for the University's students and the community to see. CSPAC also gives students a chance to artistically express themselves through Open Mic events. ,"Looking to watch a play, a musical, attend a concert, or perform at an open mic night? Head down to the Clarice Performing Arts Center and experience all they have to offer!",,https://theclarice.umd.edu,Active,None,1.0.0,3637,null,"1396, 1395",1095,"1045, 1081, 1046, 1047 1082",1.0.0,,,
1361,1086,"Delta Phi Epsilon, Delta Xi",deltaphiepsilon,"Since the arrival of Delta Phi Epsilon, Delta Xi on campus in 1963, they have prided ourselves on our unique qualities.  With loyalty, friendship and individuality as priorities of this chapter, it's no wonder the sisters of DPhiE share such tight knit bonds.  The DPhiE sisterhood, above anything else, encourages each sisters to be true to who she is.  Their welcoming atmosphere allows each member to feel comfortable and included in an amazing lifelong experience.  By balancing social, academic and philanthropic aspects, their house continues to prove itself as a great environment for it's sisters to flourish.",Check out the Delta Ix Chapter of Delta Phi Epsilon if you are interested in collegiate sisterhood!,,https://twitter.com/DPHIE_UMD,Active,None,1.0.0,3637,null,1396,1095,1047,1.0.0,,,
1361,1079,The Gildenhorn Institute for Israel Studies,instituteforisraelstudies,"The Gildenhorn Institute for Israel Studies is dedicated to the study of Israel and presents political, cultural and general interest programs featuring Israel and its place in the Middle East."," Check out the Gildenhorn Institute for Israel Studies if you're interested in the study of Israel and presents political, cultural and general interest programs featuring Israel and its place in the Middle East.",,https://twitter.com/GIISatUMD,Active,None,1.0.0,3537,null," 1387, 1390, 1396",1094,"1047, 1045, 1081, 1046, 1082",1.0.0,,,
1361,1086,The Alpha-Alpha chapter of the Kappa Sigma Fraternity,kappasigma,"Kappa Sigma is the largest college social fraternity in the world with more than 200,000 living members, including over 20,000 undergraduates and 320 chapters and colonies located throughout the United States and Canada. Founded in 1869 at the University of Virginia, Kappa Sigma International Headquarters is based in Charlottesville, Virginia.",Come join the largest collegiate social fraternity in the world: Kappa Sigma!,,https://twitter.com/KappaSigmaUMD,Active,None,1.0.0,3637,null," 1390, 1396",1095,1047,1.0.0,,,
